Variable,"Tipo de 
Dato","Media
(Orig)","Media
(Norm)","Desv.
Estándar
(Orig)","Desv.
Estándar
(Norm)","Percentil
5% (Orig)","Percentil
5% (Norm)","Percentil 
95% (Orig)","Percentil 
95% (Norm)","Skewness 
(Orig)","Skewness 
(Norm)","Kurtosis
(Orig)","Kurtosis
(Norm)","Mínimo
(Orig)","Máximo
(Orig)"
DEXJPUS,,114.7156571,0.5041143493,15.37642403,0.2139775122,90.238,0.1634845533,143.51,0.9048149179,-0.01143952038,-0.01143952038,-0.2162081256,-0.2162081256,78.49,150.35
DEXUSEU,,1.111237112,0.4395192698,0.1571272453,0.2429677521,0.86406,0.05730632442,1.36355,0.8296737282,-0.01300747421,-0.01300747421,-0.7747987773,-0.7747987773,0.827,1.4737
DEXUSUK,,1.552798971,0.4749340685,0.2044407627,0.2405751502,1.24095,0.1079665804,1.9515,0.9441044952,0.5002756248,0.5002756248,-0.4017242481,-0.4017242482,1.1492,1.999
DEXCHUS,,7.219227095,0.6895067541,1.090601732,0.3025667171,5.2352,0.1390761548,8.31,0.9921209599,-0.6273439602,-0.6273439602,-0.5403335022,-0.5403335022,4.7339,8.3384
DEXHKUS,,7.777487543,0.367023976,0.0275462435,0.2407888418,7.744,0.0743006993,7.82715,0.8011363636,0.5036082612,0.5036082612,-0.5113570533,-0.5113570533,7.7355,7.8499
DEXSZUS,,1.267654743,0.4604073413,0.2758054231,0.2670204503,0.92661,0.1302255785,1.74299,0.920602188,0.3573265146,0.3573265146,-1.035569454,-1.035569454,0.7921,1.825
WTI-Oil,,33.86066021,0.4410450766,22.42678274,0.13962634,12.745,0.3095816212,83.7475,0.7516342921,1.514007473,1.514007473,2.18305969,2.18305969,-36.98,123.64
Dubai-Crude,,33.7065573,0.2572114642,19.73898197,0.221284843,12.190618,0.01600595235,68.876782,0.6514890245,1.369180196,1.369180196,2.310084301,2.310084301,10.76286,99.96455
Brent-Crude,,36.02866162,0.270631068,19.93992933,0.2172275256,13.551968,0.025767786,72.620056,0.6692612702,1.343850146,1.343850146,2.300066005,2.300066005,11.18667,102.9795
VIX,,26.69576484,0.2171922947,12.52524844,0.1751048293,12.93,0.0247448623,53.005,0.584999301,1.728970497,1.728970497,3.302260317,3.302260317,11.16,82.69
nikkei-volatility,,31.30616216,0.2456561164,13.51504626,0.169510175,16.531,0.06034115139,58.408,0.5855763201,1.718913023,1.718913023,3.3662648,3.3662648,11.72,91.45
sp500,,1304.248794,0.1770586377,1087.285762,0.1798099778,276.595,0.007110301876,2985.245,0.4550535319,2.282023557,2.282023557,6.822792783,6.822792783,233.6,6280.46
"Effective Federal
Funds Rate",,1.806288493,0.2660073031,2.175726107,0.3276695944,0.05,0.001506024096,6.52,0.9759036145,1.149426906,1.149426906,-0.07906473324,-0.07906473324,0.04,6.68
"Índice de
Sentimiento del
Consumidor U
Michigan",,87.396,0.5731428571,15.62318998,0.2789855354,57.435,0.038125,108.205,0.9447321429,-0.6010000558,-0.6010000558,-0.5396908585,-0.5396908585,55.3,111.3
"Tasa de interés
Euro Area",,1.332580645,0.4311954459,1.572211529,0.3699321245,-0.5,0,3.75,1,0.312485846,0.312485846,-1.42619849,-1.42619849,-0.5,3.75
"Oro al contado
Dólar onza troy",,702.0244884,0.1399879967,596.7429856,0.1879452191,270.37,0.004037680822,1706.725,0.456420133,2.116360315,2.116360315,5.631203707,5.631203707,257.55,3432.64
nikkei-index,,17987.63133,0.3259827003,7537.089266,0.2247360349,8237.616,0.03526307252,33338.528,0.7837057719,0.8368757832,0.8368757832,0.2224259797,0.2224259797,7054.98,40592.5
stoxx50-index,,3350.343594,0.4236808056,975.8856298,0.2684197493,2129.33,0.0878380051,5196.35,0.9314294202,0.6205660036,0.6205660036,-0.7548144653,-0.7548144653,1809.98,5445.65
stoxx50-volatility,,30.10990566,0.2277393664,13.25110315,0.1843503498,15.4785,0.02418614357,54.904,0.5726766834,1.773845691,1.773845691,4.004101473,4.004101473,13.74,85.62
